date,person,translation,.polarity,p/n,Place
Fri Apr 30 15:57:36 +0000 2021,HRugenge,@BabendaLucien @serge_nkonde C est un projet sur lequel je travail,0.0,0.0,Abu Dhabi
Fri Apr 30 15:57:39 +0000 2021,warm7earted,#تصويري من ولايتي الجميله #ولاية_شناص#يوم_الجمعة #سورة_الكهف #حسن_الدرمكي #أخدود_السحاب_الثقال #أخدود_الخير… https://t.co/buDI6bygEV,0.0,0.0,شناص
Fri Apr 30 15:57:43 +0000 2021,asax_007,#fordmustang #classic ❤️ @ Abu Dhabi United Arab Emirates https://t.co/RGbj6cZmHf,0.16666666666666666,0.16666666666666666,Abu Dhabi
Fri Apr 30 15:57:49 +0000 2021,ashir_786,@brown_gurllll https://t.co/yHMihPYwCr,0.0,0.0,Sharjah
Fri Apr 30 15:57:50 +0000 2021,Migi1915,Wow Gulatan nalang talaga sa ganap. Nasa labas me now 😭@SB19Official #SB19#SB19saSaksi,0.1,1.0,Abu Dhabi
Fri Apr 30 15:57:50 +0000 2021,VIJAYSI24307581,हृदय विदारक घटना राष्ट्रवादी पत्रकार रोहित सरदाना जी को भावभीनी श्रद्धांजलि अर्पित💐💐💐#RIPRohitSardana https://t.co/cmRJfowH3V,0.0,0.0,Abu Dhabi
Fri Apr 30 15:58:07 +0000 2021,bushaqer4,أستاذي العزيز ما الضرر في ذلك طالما انه لايملك حق الترافع أمام الدولة فلقب المحامي لم يسن له تصريح خاص والا أمتنع م… https://t.co/b2y8Ib0mrJ,0.0,0.0,دبي
Fri Apr 30 15:58:08 +0000 2021,HamadaAloraifan,@ialnjadah ناطرينكم,0.0,0.0,Dubai
Fri Apr 30 15:58:27 +0000 2021,mojtabach,ترکیب جان ویک و تنها در خانه بود، اگه دوست دارید سرگرم  بشید و خیلی دنبال منطق تو فیلم نیستید ببینید. https://t.co/43Ax5ClDUt,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:58:28 +0000 2021,Gmeddie1,@MuslimsMatters Masha'Allah,0.0,0.0,Abu Dhabi
Fri Apr 30 15:58:35 +0000 2021,MaryamS3_,@NamahSultan آمـيـن يا قلبي,0.0,0.0,Ras Al Khaimah
